Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(BNB),Value_OUT(BNB),CurrentValue @ $279.06/BNB,TxnFee(BNB),TxnFee(USD),Historical $Price/BNB,Status,ErrCode,Method,Input (Default),Input (Original),collateralPoolId,debtCeiling,debtFloor,priceFeed,liquidationRatio,stabilityFeeRate,adapter,closeFactorBps,liquidatorIncentiveBps,treasuryFeesBps,strategy,collateralPoolId,liquidationRatio,collateralPoolId,debtFloor,collateralPoolId,closeFactorBps,collateralPoolId,strategy,collateralPoolId,debtCeiling
0x864e9fdf8a7c87bc871bd0271b82c773dddb866c6e2a7b7e134d3293bdfa6cb9,13126044,1638434231,2021-12-02 08:37:11,0xc44f82b07ab3e691f826951a6e335e1bc1bb0b51,0x06d280abee1073b83a01fe778b6145e850e87162,,0,0,0,0.00059676,0.1672598928,620.69,Error(0),execution reverted,Init Collateral Pool,"[0]:  6962425553440000000000000000000000000000000000000000000000000000
[1]:  00000000000000000000502ed53dc07790272afdb61a19509130000000000000
[2]:  000000000000000000000000118427b3b4a05bc8a8a4de845986800000000000
[3]:  0000000000000000000000004a89f897aa97d096dbea0f874a5854662996f8ae
[4]:  0000000000000000000000000000000000000000034389357aa40fc16676f312
[5]:  0000000000000000000000000000000000000000033b2e3ca88761c99baf1532
[6]:  0000000000000000000000004f56a92ca885be50e705006876261e839b080e36
[7]:  0000000000000000000000000000000000000000000000000000000000001388
[8]:  0000000000000000000000000000000000000000000000000000000000002904
[9]:  0000000000000000000000000000000000000000000000000000000000001f40
[10]: 0000000000000000000000009fa028cf1ddaaa514a1adde6a9fe7224ca10d6d1",0x64c8edab696242555344000000000000000000000000000000000000000000000000000000000000000000000000502ed53dc07790272afdb61a19509130000000000000000000000000000000000000118427b3b4a05bc8a8a4de8459868000000000000000000000000000000000004a89f897aa97d096dbea0f874a5854662996f8ae0000000000000000000000000000000000000000034389357aa40fc16676f3120000000000000000000000000000000000000000033b2e3ca88761c99baf15320000000000000000000000004f56a92ca885be50e705006876261e839b080e36000000000000000000000000000000000000000000000000000000000000138800000000000000000000000000000000000000000000000000000000000029040000000000000000000000000000000000000000000000000000000000001f400000000000000000000000009fa028cf1ddaaa514a1adde6a9fe7224ca10d6d1,6962425553440000000000000000000000000000000000000000000000000000,00000000000000000000502ed53dc07790272afdb61a19509130000000000000,000000000000000000000000118427b3b4a05bc8a8a4de845986800000000000,0000000000000000000000004a89f897aa97d096dbea0f874a5854662996f8ae,0000000000000000000000000000000000000000034389357aa40fc16676f312,0000000000000000000000000000000000000000033b2e3ca88761c99baf1532,0000000000000000000000004f56a92ca885be50e705006876261e839b080e36,0000000000000000000000000000000000000000000000000000000000001388,0000000000000000000000000000000000000000000000000000000000002904,0000000000000000000000000000000000000000000000000000000000001f40,0000000000000000000000009fa028cf1ddaaa514a1adde6a9fe7224ca10d6d1,,,,,,,,,,
0x2f749b68984c0cc01e48bb3f4e981f549d6e303e2c7c856d1839661e81a00f6e,13126240,1638434844,2021-12-02 08:47:24,0xc44f82b07ab3e691f826951a6e335e1bc1bb0b51,0x06d280abee1073b83a01fe778b6145e850e87162,,0,0,0,0.001891775,0.530226697,620.69,,,Init Collateral Pool,"[0]:  6962425553440000000000000000000000000000000000000000000000000000
[1]:  00000000000000000000502ed53dc07790272afdb61a19509130000000000000
[2]:  000000000000000000000000118427b3b4a05bc8a8a4de845986800000000000
[3]:  0000000000000000000000004a89f897aa97d096dbea0f874a5854662996f8ae
[4]:  0000000000000000000000000000000000000000034389357aa40fc16676f312
[5]:  0000000000000000000000000000000000000000033b2e3ca88761c99baf1532
[6]:  0000000000000000000000004f56a92ca885be50e705006876261e839b080e36
[7]:  0000000000000000000000000000000000000000000000000000000000001388
[8]:  0000000000000000000000000000000000000000000000000000000000002904
[9]:  0000000000000000000000000000000000000000000000000000000000001f40
[10]: 0000000000000000000000009fa028cf1ddaaa514a1adde6a9fe7224ca10d6d1",0x64c8edab696242555344000000000000000000000000000000000000000000000000000000000000000000000000502ed53dc07790272afdb61a19509130000000000000000000000000000000000000118427b3b4a05bc8a8a4de8459868000000000000000000000000000000000004a89f897aa97d096dbea0f874a5854662996f8ae0000000000000000000000000000000000000000034389357aa40fc16676f3120000000000000000000000000000000000000000033b2e3ca88761c99baf15320000000000000000000000004f56a92ca885be50e705006876261e839b080e36000000000000000000000000000000000000000000000000000000000000138800000000000000000000000000000000000000000000000000000000000029040000000000000000000000000000000000000000000000000000000000001f400000000000000000000000009fa028cf1ddaaa514a1adde6a9fe7224ca10d6d1,6962425553440000000000000000000000000000000000000000000000000000,00000000000000000000502ed53dc07790272afdb61a19509130000000000000,000000000000000000000000118427b3b4a05bc8a8a4de845986800000000000,0000000000000000000000004a89f897aa97d096dbea0f874a5854662996f8ae,0000000000000000000000000000000000000000034389357aa40fc16676f312,0000000000000000000000000000000000000000033b2e3ca88761c99baf1532,0000000000000000000000004f56a92ca885be50e705006876261e839b080e36,0000000000000000000000000000000000000000000000000000000000001388,0000000000000000000000000000000000000000000000000000000000002904,0000000000000000000000000000000000000000000000000000000000001f40,0000000000000000000000009fa028cf1ddaaa514a1adde6a9fe7224ca10d6d1,,,,,,,,,,
0xcb0f6ca454a78b1aa02ecb74a5ad27ebdfee2b86bc660f0260a345562d0cfb70,13718800,1640241791,2021-12-23 06:43:11,0xc44f82b07ab3e691f826951a6e335e1bc1bb0b51,0x06d280abee1073b83a01fe778b6145e850e87162,,0,0,0,0.001095185,0.3069584518,548.95,,,Init Collateral Pool,"[0]:  425553442d535441424c45000000000000000000000000000000000000000000
[1]:  000000000000000000001aba4714957d300d0e549208b31adb10000000000000
[2]:  0000000000000000000000000000000000000000000000000000000000000000
[3]:  000000000000000000000000d67286e5969ca0d2ad282eb4eda4b51d60a9eb45
[4]:  0000000000000000000000000000000000000000033b2e3c9fd0803ce8000000
[5]:  0000000000000000000000000000000000000000033b2e3c9fd0803ce8000000
[6]:  0000000000000000000000008fff07f961e75dcced6f1620386d91e66109a9e9
[7]:  0000000000000000000000000000000000000000000000000000000000000000
[8]:  0000000000000000000000000000000000000000000000000000000000002710
[9]:  0000000000000000000000000000000000000000000000000000000000000000
[10]: 0000000000000000000000000000000000000000000000000000000000000000",0x64c8edab425553442d535441424c45000000000000000000000000000000000000000000000000000000000000001aba4714957d300d0e549208b31adb100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000d67286e5969ca0d2ad282eb4eda4b51d60a9eb450000000000000000000000000000000000000000033b2e3c9fd0803ce80000000000000000000000000000000000000000000000033b2e3c9fd0803ce80000000000000000000000000000008fff07f961e75dcced6f1620386d91e66109a9e90000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000271000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,425553442d535441424c45000000000000000000000000000000000000000000,000000000000000000001aba4714957d300d0e549208b31adb10000000000000,0000000000000000000000000000000000000000000000000000000000000000,000000000000000000000000d67286e5969ca0d2ad282eb4eda4b51d60a9eb45,0000000000000000000000000000000000000000033b2e3c9fd0803ce8000000,0000000000000000000000000000000000000000033b2e3c9fd0803ce8000000,0000000000000000000000008fff07f961e75dcced6f1620386d91e66109a9e9,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000002710,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,,,,,,,,,,
0x6303bae659b99c648bfb67f255a07c8c5e798c13e48317d9ffcc6bb39216ff37,14236915,1641798441,2022-01-10 07:07:21,0xc44f82b07ab3e691f826951a6e335e1bc1bb0b51,0x06d280abee1073b83a01fe778b6145e850e87162,,0,0,0,0.00147759,0.4141389252,425.03,,,Init Collateral Pool,"[0]:  6962555344540000000000000000000000000000000000000000000000000000
[1]:  00000000000000000000502ed53dc07790272afdb61a19509130000000000000
[2]:  0000000000000000000000005794c6828721caeb4b385895bfa0800000000000
[3]:  000000000000000000000000fb6a378b5e5bbc6f413dddf07873076851a00fd1
[4]:  0000000000000000000000000000000000000000039716ee06e7aaee571c71c7
[5]:  0000000000000000000000000000000000000000033b2e3ca88761c99baf1532
[6]:  0000000000000000000000002b356b9cd4b00658facc35f4d031df528ee9778d
[7]:  00000000000000000000000000000000000000000000000000000000000009c4
[8]:  0000000000000000000000000000000000000000000000000000000000002904
[9]:  0000000000000000000000000000000000000000000000000000000000001f40
[10]: 0000000000000000000000009fa028cf1ddaaa514a1adde6a9fe7224ca10d6d1",0x64c8edab696255534454000000000000000000000000000000000000000000000000000000000000000000000000502ed53dc07790272afdb61a195091300000000000000000000000000000000000005794c6828721caeb4b385895bfa0800000000000000000000000000000000000fb6a378b5e5bbc6f413dddf07873076851a00fd10000000000000000000000000000000000000000039716ee06e7aaee571c71c70000000000000000000000000000000000000000033b2e3ca88761c99baf15320000000000000000000000002b356b9cd4b00658facc35f4d031df528ee9778d00000000000000000000000000000000000000000000000000000000000009c400000000000000000000000000000000000000000000000000000000000029040000000000000000000000000000000000000000000000000000000000001f400000000000000000000000009fa028cf1ddaaa514a1adde6a9fe7224ca10d6d1,6962555344540000000000000000000000000000000000000000000000000000,00000000000000000000502ed53dc07790272afdb61a19509130000000000000,0000000000000000000000005794c6828721caeb4b385895bfa0800000000000,000000000000000000000000fb6a378b5e5bbc6f413dddf07873076851a00fd1,0000000000000000000000000000000000000000039716ee06e7aaee571c71c7,0000000000000000000000000000000000000000033b2e3ca88761c99baf1532,0000000000000000000000002b356b9cd4b00658facc35f4d031df528ee9778d,00000000000000000000000000000000000000000000000000000000000009c4,0000000000000000000000000000000000000000000000000000000000002904,0000000000000000000000000000000000000000000000000000000000001f40,0000000000000000000000009fa028cf1ddaaa514a1adde6a9fe7224ca10d6d1,,,,,,,,,,
0x848af4aee96fb32b931c826c27b7711ab069580a6694a5e08310b2595dd82807,14239766,1641806994,2022-01-10 09:29:54,0xc44f82b07ab3e691f826951a6e335e1bc1bb0b51,0x06d280abee1073b83a01fe778b6145e850e87162,,0,0,0,0.00147759,0.4141389252,425.03,,,Init Collateral Pool,"[0]:  696257424e420000000000000000000000000000000000000000000000000000
[1]:  00000000000000000000502ed53dc07790272afdb61a19509130000000000000
[2]:  0000000000000000000000005794c6828721caeb4b385895bfa0800000000000
[3]:  00000000000000000000000044b930f2e53231b3f85495229ea644724c93c617
[4]:  000000000000000000000000000000000000000004f895e71d40c54a02762762
[5]:  0000000000000000000000000000000000000000033b2e3cacd278c7503e82c2
[6]:  0000000000000000000000004bf04730c37fc395b5f780e6ad3e397c031f6d39
[7]:  00000000000000000000000000000000000000000000000000000000000009c4
[8]:  0000000000000000000000000000000000000000000000000000000000002904
[9]:  0000000000000000000000000000000000000000000000000000000000001f40
[10]: 0000000000000000000000009fa028cf1ddaaa514a1adde6a9fe7224ca10d6d1",0x64c8edab696257424e42000000000000000000000000000000000000000000000000000000000000000000000000502ed53dc07790272afdb61a195091300000000000000000000000000000000000005794c6828721caeb4b385895bfa080000000000000000000000000000000000044b930f2e53231b3f85495229ea644724c93c617000000000000000000000000000000000000000004f895e71d40c54a027627620000000000000000000000000000000000000000033b2e3cacd278c7503e82c20000000000000000000000004bf04730c37fc395b5f780e6ad3e397c031f6d3900000000000000000000000000000000000000000000000000000000000009c400000000000000000000000000000000000000000000000000000000000029040000000000000000000000000000000000000000000000000000000000001f400000000000000000000000009fa028cf1ddaaa514a1adde6a9fe7224ca10d6d1,696257424e420000000000000000000000000000000000000000000000000000,00000000000000000000502ed53dc07790272afdb61a19509130000000000000,0000000000000000000000005794c6828721caeb4b385895bfa0800000000000,00000000000000000000000044b930f2e53231b3f85495229ea644724c93c617,000000000000000000000000000000000000000004f895e71d40c54a02762762,0000000000000000000000000000000000000000033b2e3cacd278c7503e82c2,0000000000000000000000004bf04730c37fc395b5f780e6ad3e397c031f6d39,00000000000000000000000000000000000000000000000000000000000009c4,0000000000000000000000000000000000000000000000000000000000002904,0000000000000000000000000000000000000000000000000000000000001f40,0000000000000000000000009fa028cf1ddaaa514a1adde6a9fe7224ca10d6d1,,,,,,,,,,
0x1387d594604fdb7c2234895899e2d4b366e884822e56760275c9b7b8488edf46,13295319,1638963461,2021-12-08 11:37:41,0xc44f82b07ab3e691f826951a6e335e1bc1bb0b51,0x06d280abee1073b83a01fe778b6145e850e87162,,0,0,0,0.000219985,0.0616573958,607.83,,,Set Liquidation Ratio,"[0]:  6962425553440000000000000000000000000000000000000000000000000000
[1]:  0000000000000000000000000000000000000000039716ee06e7aaee571c71c7",0x97a991b869624255534400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000039716ee06e7aaee571c71c7,,,,,,,,,,,,6962425553440000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000039716ee06e7aaee571c71c7,,,,,,,,
0xa1062a595ea6f5eeadd65920a48bfb09a2a1a866a47b8d066c51b1b5341cf3e6,13295359,1638963614,2021-12-08 11:40:14,0xc44f82b07ab3e691f826951a6e335e1bc1bb0b51,0x06d280abee1073b83a01fe778b6145e850e87162,,0,0,0,0.000198985,0.0557715158,607.83,,,Set Liquidation Ratio,"[0]:  6962425553440000000000000000000000000000000000000000000000000000
[1]:  0000000000000000000000000000000000000000039716ee06e7aaee571c71c7",0x97a991b869624255534400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000039716ee06e7aaee571c71c7,,,,,,,,,,,,6962425553440000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000039716ee06e7aaee571c71c7,,,,,,,,
0x697df99bebcef0fb8f01f0c35a6c7dd7b70fa9862b1142f2f00b9aeaf1937a04,13295374,1638963697,2021-12-08 11:41:37,0xc44f82b07ab3e691f826951a6e335e1bc1bb0b51,0x06d280abee1073b83a01fe778b6145e850e87162,,0,0,0,0.00132429,0.3711720012,607.83,,,Set Debt Floor,"[0]:  6962425553440000000000000000000000000000000000000000000000000000
[1]:  0000000000000000000000005794c6828721caeb4b385895bfa0800000000000",0xa3c68b4269624255534400000000000000000000000000000000000000000000000000000000000000000000000000005794c6828721caeb4b385895bfa0800000000000,,,,,,,,,,,,,,6962425553440000000000000000000000000000000000000000000000000000,0000000000000000000000005794c6828721caeb4b385895bfa0800000000000,,,,,,
0x575874e8c03b129fddccd0b0bc4b4c1bb348ff74c851c8f84e194c94c7f96634,13295399,1638963786,2021-12-08 11:43:06,0xc44f82b07ab3e691f826951a6e335e1bc1bb0b51,0x06d280abee1073b83a01fe778b6145e850e87162,,0,0,0,0.00130785,0.366564198,607.83,,,Set Close Factor Bps,"[0]:  6962425553440000000000000000000000000000000000000000000000000000
[1]:  00000000000000000000000000000000000000000000000000000000000009c4",0x2fe6af44696242555344000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000009c4,,,,,,,,,,,,,,,,6962425553440000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000009c4,,,,
0xcdd5d09b5b56458d4936720abf1481d345831fb33793704ab167b8cd1dfd3ec4,14753460,1643353900,2022-01-28 07:11:40,0xc44f82b07ab3e691f826951a6e335e1bc1bb0b51,0x06d280abee1073b83a01fe778b6145e850e87162,,0,0,0,0.00022538,0.0631695064,386.13,,,Set Strategy,"[0]:  6962425553440000000000000000000000000000000000000000000000000000
[1]:  0000000000000000000000004633a11702a5751fb4836f5ecd3edd8d86852ee9",0xa14cbb1269624255534400000000000000000000000000000000000000000000000000000000000000000000000000004633a11702a5751fb4836f5ecd3edd8d86852ee9,,,,,,,,,,,,,,,,,,6962425553440000000000000000000000000000000000000000000000000000,0000000000000000000000004633a11702a5751fb4836f5ecd3edd8d86852ee9,,
