liquidationRatio,collateralPoolId,debtFloor,collateralPoolId,closeFactorBps,collateralPoolId,strategy,collateralPoolId,debtCeiling
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
0000000000000000000000000000000000000000039716ee06e7aaee571c71c7,,,,,,,,
0000000000000000000000000000000000000000039716ee06e7aaee571c71c7,,,,,,,,
,6962425553440000000000000000000000000000000000000000000000000000,0000000000000000000000005794c6828721caeb4b385895bfa0800000000000,,,,,,
,,,6962425553440000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000009c4,,,,
,,,,,6962425553440000000000000000000000000000000000000000000000000000,0000000000000000000000004633a11702a5751fb4836f5ecd3edd8d86852ee9,,
,,,,,6962555344540000000000000000000000000000000000000000000000000000,0000000000000000000000004633a11702a5751fb4836f5ecd3edd8d86852ee9,,
,,,,,696257424e420000000000000000000000000000000000000000000000000000,0000000000000000000000004633a11702a5751fb4836f5ecd3edd8d86852ee9,,
,,,,,,,6962425553440000000000000000000000000000000000000000000000000000,00000000000000000000060383316e6f5e02f0063a75284c714a000000000000
,,,,,,,6962555344540000000000000000000000000000000000000000000000000000,0000000000000000000002ac3a4edbbfb8014e3ba83411e915e8000000000000
,,,,,,,696257424e420000000000000000000000000000000000000000000000000000,0000000000000000000002ac3a4edbbfb8014e3ba83411e915e8000000000000
